,Simulation 0,Simulation 1,Simulation 2,Simulation 3,Simulation 4,Simulation 5,Simulation 6,Simulation 7,Simulation 8,Simulation 9,Average,Standard Deviation
0,5.469051361083984,4.927807092666626,4.848372220993042,4.5581090450286865,3.998011350631714,4.652704954147339,4.6449034214019775,5.359708786010742,4.904668807983398,4.169814109802246,4.753315114974976,0.43741525022736705
1,11.054958581924438,11.8069326877594,18.479543447494507,15.503914594650269,26.403794527053833,15.684824705123901,15.906944036483765,15.562292575836182,25.50710439682007,11.316656112670898,16.722696566581725,5.1387143186168185
2,6.275643825531006,6.421669006347656,9.106420993804932,9.084942102432251,7.994375944137573,8.998888969421387,8.903897047042847,9.152648210525513,8.303735256195068,8.645240306854248,8.288746166229249,1.0336384749783756
3,21.011488676071167,16.27960443496704,19.502594470977783,19.735507249832153,14.4658362865448,23.60284924507141,13.119513511657715,10.511041164398193,36.20130133628845,72.00512456893921,24.64348609447479,17.1684776881693
4,7.74180006980896,7.73160719871521,8.883788824081421,13.709184885025024,9.558753252029419,9.951961994171143,8.80337929725647,16.564440727233887,42.4991557598114,19.839191198349,14.528326320648194,10.089188560591868
5,7.125185012817383,17.70011281967163,10.357193946838379,11.255191087722778,10.757936954498291,11.613169431686401,11.78541874885559,10.97176718711853,34.379934310913086,28.347887754440308,15.429379725456238,8.44282397345598
6,16.83422875404358,28.652217864990234,12.993472814559937,15.295356035232544,17.305569887161255,12.735097169876099,11.685255765914917,16.373694896697998,31.165865659713745,54.33700656890869,21.7377765417099,12.537702380021607
7,12.097672700881958,14.266483306884766,13.095284223556519,14.307815313339233,13.411367177963257,13.530682802200317,11.67587399482727,14.637828588485718,23.008659601211548,56.696828842163086,18.672849655151367,13.026120526187439
8,12.644909381866455,12.086744546890259,13.321631669998169,13.785097360610962,30.053470373153687,15.768717765808105,14.364649057388306,15.470019578933716,26.65546178817749,42.86877417564392,19.701947569847107,9.682892947800141
9,15.131445169448853,16.057790279388428,9.889863967895508,18.897992610931396,17.78188967704773,20.384719371795654,17.79691243171692,14.277819395065308,55.85660195350647,25.632200241088867,21.170723509788512,12.202662539157728
10,19.576409816741943,21.09169578552246,13.924120664596558,12.477746486663818,19.852237939834595,18.686165809631348,19.981664657592773,18.256022214889526,29.075111389160156,30.42864155769348,20.334981632232665,5.381948616253137
11,19.529604196548462,15.129015684127808,13.328044891357422,10.583890676498413,19.75027871131897,11.297468423843384,15.452855110168457,12.232000827789307,36.33681654930115,26.107086181640625,17.9747061252594,7.596779174957973
12,30.27444338798523,23.194425106048584,14.106025218963623,10.952179670333862,18.81157922744751,22.70012331008911,24.603328704833984,14.82840609550476,23.58174753189087,28.88592505455017,21.19381833076477,6.054305212137477
